Date : 2023-01-13 08:33:09
Directory : c:\src\flutterApps\Project-Mercury\lib
Total : 84 files,  3811 codes, 639 comments, -179 blanks, all 4271 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| ..\ios\Runner\Base.lproj                                                                         |          2 |        -61 |         -2 |         -2 |        -65 |
| ..\test                                                                                          |          1 |        -14 |        -10 |         -7 |        -31 |
| ..\web                                                                                           |          2 |       -115 |        -18 |         -8 |       -141 |
| ..\windows                                                                                       |         10 |       -410 |        -80 |       -131 |       -621 |
| ..\windows\flutter                                                                               |          2 |        -14 |         -9 |        -11 |        -34 |
| ..\windows\runner                                                                                |          8 |       -396 |        -71 |       -120 |       -587 |
| data                                                                                             |          5 |      4,964 |        688 |         22 |      5,674 |
| models                                                                                           |          9 |        249 |          6 |         20 |        275 |
| pages                                                                                            |         19 |       -541 |        156 |         -6 |       -391 |
| pages\contactPage                                                                                |          2 |        -78 |          0 |         -3 |        -81 |
| pages\eventPage                                                                                  |          3 |        106 |          0 |         -1 |        105 |
| pages\homePage                                                                                   |          8 |       -466 |         70 |          0 |       -396 |
| pages\moneyPage                                                                                  |          2 |          4 |          2 |         -1 |          5 |
| pages\storePage                                                                                  |          4 |       -107 |         84 |         -1 |        -24 |
| resources                                                                                        |          7 |        -16 |         10 |         -8 |        -14 |
| screens                                                                                          |          2 |          9 |          1 |          0 |         10 |
| utils                                                                                            |          2 |        180 |          6 |          2 |        188 |
+--------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+--------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                                         | language   | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| c:\src\flutterApps\Project-Mercury\README.md                                                     | Markdown   |        -10 |          0 |         -7 |        -17 |
| c:\src\flutterApps\Project-Mercury\analysis_options.yaml                                         | YAML       |         -3 |        -23 |         -4 |        -30 |
| c:\src\flutterApps\Project-Mercury\android\app\build.gradle                                      | Groovy     |        -54 |         -3 |        -13 |        -70 |
| c:\src\flutterApps\Project-Mercury\android\app\google-services.json                              | JSON       |        -46 |          0 |          0 |        -46 |
| c:\src\flutterApps\Project-Mercury\android\app\src\debug\AndroidManifest.xml                     | XML        |         -4 |         -3 |         -1 |         -8 |
| c:\src\flutterApps\Project-Mercury\android\app\src\main\AndroidManifest.xml                      | XML        |        -28 |         -6 |         -1 |        -35 |
| c:\src\flutterApps\Project-Mercury\android\app\src\main\res\drawable-v21\launch_background.xml   | XML        |         -4 |         -7 |         -2 |        -13 |
| c:\src\flutterApps\Project-Mercury\android\app\src\main\res\drawable\launch_background.xml       | XML        |         -4 |         -7 |         -2 |        -13 |
| c:\src\flutterApps\Project-Mercury\android\app\src\main\res\values-night\styles.xml              | XML        |         -9 |         -9 |         -1 |        -19 |
| c:\src\flutterApps\Project-Mercury\android\app\src\main\res\values\styles.xml                    | XML        |         -9 |         -9 |         -1 |        -19 |
| c:\src\flutterApps\Project-Mercury\android\app\src\profile\AndroidManifest.xml                   | XML        |         -4 |         -3 |         -1 |         -8 |
| c:\src\flutterApps\Project-Mercury\android\build.gradle                                          | Groovy     |        -28 |          0 |         -5 |        -33 |
| c:\src\flutterApps\Project-Mercury\android\gradle.properties                                     | Properties |         -3 |          0 |         -1 |         -4 |
| c:\src\flutterApps\Project-Mercury\android\gradle\wrapper\gradle-wrapper.properties              | Properties |         -5 |         -1 |         -1 |         -7 |
| c:\src\flutterApps\Project-Mercury\android\settings.gradle                                       | Groovy     |         -8 |          0 |         -4 |        -12 |
| c:\src\flutterApps\Project-Mercury\firebase.json                                                 | JSON       |         -6 |          0 |         -1 |         -7 |
| c:\src\flutterApps\Project-Mercury\firestore.indexes.json                                        | JSON       |         -4 |          0 |         -1 |         -5 |
| c:\src\flutterApps\Project-Mercury\ios\Runner\AppDelegate.swift                                  | Swift      |        -12 |          0 |         -2 |        -14 |
| c:\src\flutterApps\Project-Mercury\ios\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json   | JSON       |       -122 |          0 |         -1 |       -123 |
| c:\src\flutterApps\Project-Mercury\ios\Runner\Assets.xcassets\LaunchImage.imageset\Contents.json | JSON       |        -23 |          0 |         -1 |        -24 |
| c:\src\flutterApps\Project-Mercury\ios\Runner\Assets.xcassets\LaunchImage.imageset\README.md     | Markdown   |         -3 |          0 |         -2 |         -5 |
| c:\src\flutterApps\Project-Mercury\ios\Runner\Base.lproj\LaunchScreen.storyboard                 | XML        |        -36 |         -1 |         -1 |        -38 |
| c:\src\flutterApps\Project-Mercury\ios\Runner\Base.lproj\Main.storyboard                         | XML        |        -25 |         -1 |         -1 |        -27 |
| c:\src\flutterApps\Project-Mercury\ios\Runner\Runner-Bridging-Header.h                           | C++        |         -1 |          0 |         -1 |         -2 |
| c:\src\flutterApps\Project-Mercury\ios\firebase_app_id_file.json                                 | JSON       |         -7 |          0 |          0 |         -7 |
| c:\src\flutterApps\Project-Mercury\lib\data\contact_data.dart                                    | Dart       |        374 |          0 |          5 |        379 |
| c:\src\flutterApps\Project-Mercury\lib\data\event_data.dart                                      | Dart       |        819 |          0 |          3 |        822 |
| c:\src\flutterApps\Project-Mercury\lib\data\room_data.dart                                       | Dart       |      2,449 |        100 |          9 |      2,558 |
| c:\src\flutterApps\Project-Mercury\lib\data\store_data.dart                                      | Dart       |      1,045 |        587 |          2 |      1,634 |
| c:\src\flutterApps\Project-Mercury\lib\data\transaction_data.dart                                | Dart       |        277 |          1 |          3 |        281 |
| c:\src\flutterApps\Project-Mercury\lib\main.dart                                                 | Dart       |          0 |          2 |          0 |          2 |
| c:\src\flutterApps\Project-Mercury\lib\models\contact.dart                                       | Dart       |          9 |          0 |          1 |         10 |
| c:\src\flutterApps\Project-Mercury\lib\models\event.dart                                         | Dart       |         71 |          0 |          3 |         74 |
| c:\src\flutterApps\Project-Mercury\lib\models\furniture.dart                                     | Dart       |         69 |          6 |         11 |         86 |
| c:\src\flutterApps\Project-Mercury\lib\models\scam.dart                                          | Dart       |        -18 |          0 |         -1 |        -19 |
| c:\src\flutterApps\Project-Mercury\lib\models\slot.dart                                          | Dart       |         -3 |          0 |          0 |         -3 |
| c:\src\flutterApps\Project-Mercury\lib\models\slot_setting.dart                                  | Dart       |         21 |          0 |          2 |         23 |
| c:\src\flutterApps\Project-Mercury\lib\models\store_item.dart                                    | Dart       |         29 |          0 |          1 |         30 |
| c:\src\flutterApps\Project-Mercury\lib\models\transaction.dart                                   | Dart       |         33 |          0 |          1 |         34 |
| c:\src\flutterApps\Project-Mercury\lib\models\user.dart                                          | Dart       |         38 |          0 |          2 |         40 |
| c:\src\flutterApps\Project-Mercury\lib\pages\contactPage\contact_card.dart                       | Dart       |        -20 |          0 |          1 |        -19 |
| c:\src\flutterApps\Project-Mercury\lib\pages\contactPage\contact_data.dart                       | Dart       |        -58 |          0 |         -4 |        -62 |
| c:\src\flutterApps\Project-Mercury\lib\pages\eventPage\event_card.dart                           | Dart       |        208 |          2 |          1 |        211 |
| c:\src\flutterApps\Project-Mercury\lib\pages\eventPage\event_data.dart                           | Dart       |       -113 |         -2 |         -2 |       -117 |
| c:\src\flutterApps\Project-Mercury\lib\pages\eventPage\event_page.dart                           | Dart       |         11 |          0 |          0 |         11 |
| c:\src\flutterApps\Project-Mercury\lib\pages\homePage\cube.dart                                  | Dart       |       -127 |         -9 |        -15 |       -151 |
| c:\src\flutterApps\Project-Mercury\lib\pages\homePage\floor_plan.dart                            | Dart       |         23 |          4 |          7 |         34 |
| c:\src\flutterApps\Project-Mercury\lib\pages\homePage\furniture_card.dart                        | Dart       |         -9 |          0 |          0 |         -9 |
| c:\src\flutterApps\Project-Mercury\lib\pages\homePage\home_page.dart                             | Dart       |        -49 |          2 |          1 |        -46 |
| c:\src\flutterApps\Project-Mercury\lib\pages\homePage\isometric.dart                             | Dart       |          2 |          0 |          0 |          2 |
| c:\src\flutterApps\Project-Mercury\lib\pages\homePage\room.dart                                  | Dart       |        166 |         75 |         12 |        253 |
| c:\src\flutterApps\Project-Mercury\lib\pages\homePage\room_data.dart                             | Dart       |       -551 |         -2 |         -7 |       -560 |
| c:\src\flutterApps\Project-Mercury\lib\pages\homePage\tip_message.dart                           | Dart       |         79 |          0 |          2 |         81 |
| c:\src\flutterApps\Project-Mercury\lib\pages\moneyPage\money_page.dart                           | Dart       |          2 |          0 |          0 |          2 |
| c:\src\flutterApps\Project-Mercury\lib\pages\moneyPage\transaction_card.dart                     | Dart       |          2 |          2 |         -1 |          3 |
| c:\src\flutterApps\Project-Mercury\lib\pages\storePage\receipt_card.dart                         | Dart       |         15 |          0 |          0 |         15 |
| c:\src\flutterApps\Project-Mercury\lib\pages\storePage\store_card.dart                           | Dart       |         23 |         84 |          0 |        107 |
| c:\src\flutterApps\Project-Mercury\lib\pages\storePage\store_data.dart                           | Dart       |       -273 |          0 |         -2 |       -275 |
| c:\src\flutterApps\Project-Mercury\lib\pages\storePage\store_page.dart                           | Dart       |        128 |          0 |          1 |        129 |
| c:\src\flutterApps\Project-Mercury\lib\resources\analytics_methods.dart                          | Dart       |          8 |          0 |          1 |          9 |
| c:\src\flutterApps\Project-Mercury\lib\resources\app_state.dart                                  | Dart       |        230 |         17 |         28 |        275 |
| c:\src\flutterApps\Project-Mercury\lib\resources\event_controller.dart                           | Dart       |       -372 |         -7 |        -31 |       -410 |
| c:\src\flutterApps\Project-Mercury\lib\resources\firestore_methods.dart                          | Dart       |        102 |          1 |         -6 |         97 |
| c:\src\flutterApps\Project-Mercury\lib\resources\firestore_service.dart                          | Dart       |         25 |          0 |          1 |         26 |
| c:\src\flutterApps\Project-Mercury\lib\resources\time_controller.dart                            | Dart       |         -8 |         -1 |         -1 |        -10 |
| c:\src\flutterApps\Project-Mercury\lib\resources\tutorial.dart                                   | Dart       |         -1 |          0 |          0 |         -1 |
| c:\src\flutterApps\Project-Mercury\lib\screens\navigation_screen.dart                            | Dart       |          1 |          1 |          0 |          2 |
| c:\src\flutterApps\Project-Mercury\lib\screens\welcome_screen.dart                               | Dart       |          8 |          0 |          0 |          8 |
| c:\src\flutterApps\Project-Mercury\lib\utils\global_variables.dart                               | Dart       |         -2 |         -1 |         -2 |         -5 |
| c:\src\flutterApps\Project-Mercury\lib\utils\utils.dart                                          | Dart       |        182 |          7 |          4 |        193 |
| c:\src\flutterApps\Project-Mercury\pubspec.yaml                                                  | YAML       |        -37 |        -49 |         -8 |        -94 |
| c:\src\flutterApps\Project-Mercury\test\widget_test.dart                                         | Dart       |        -14 |        -10 |         -7 |        -31 |
| c:\src\flutterApps\Project-Mercury\web\index.html                                                | HTML       |        -80 |        -18 |         -7 |       -105 |
| c:\src\flutterApps\Project-Mercury\web\manifest.json                                             | JSON       |        -35 |          0 |         -1 |        -36 |
| c:\src\flutterApps\Project-Mercury\windows\flutter\generated_plugin_registrant.cc                | C++        |         -9 |         -4 |         -5 |        -18 |
| c:\src\flutterApps\Project-Mercury\windows\flutter\generated_plugin_registrant.h                 | C++        |         -5 |         -5 |         -6 |        -16 |
| c:\src\flutterApps\Project-Mercury\windows\runner\flutter_window.cpp                             | C++        |        -45 |         -4 |        -13 |        -62 |
| c:\src\flutterApps\Project-Mercury\windows\runner\flutter_window.h                               | C++        |        -20 |         -5 |         -9 |        -34 |
| c:\src\flutterApps\Project-Mercury\windows\runner\main.cpp                                       | C++        |        -30 |         -4 |        -10 |        -44 |
| c:\src\flutterApps\Project-Mercury\windows\runner\resource.h                                     | C++        |         -9 |         -6 |         -2 |        -17 |
| c:\src\flutterApps\Project-Mercury\windows\runner\utils.cpp                                      | C++        |        -53 |         -2 |        -10 |        -65 |
| c:\src\flutterApps\Project-Mercury\windows\runner\utils.h                                        | C++        |         -8 |         -6 |         -6 |        -20 |
| c:\src\flutterApps\Project-Mercury\windows\runner\win32_window.cpp                               | C++        |       -183 |        -15 |        -48 |       -246 |
| c:\src\flutterApps\Project-Mercury\windows\runner\win32_window.h                                 | C++        |        -48 |        -29 |        -22 |        -99 |
| Total                                                                                            |            |      3,811 |        639 |       -179 |      4,271 |
+--------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
