"filename", "language", "JSON", "C++", "HTML", "YAML", "Dart", "Swift", "Markdown", "XML", "Groovy", "Properties", "comment", "blank", "total"
"c:\src\flutterApps\Project-Mercury\ios\Runner\AppDelegate.swift", "Swift", 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 2, 14
"c:\src\flutterApps\Project-Mercury\ios\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 122, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 123
"c:\src\flutterApps\Project-Mercury\ios\Runner\Assets.xcassets\LaunchImage.imageset\Contents.json", "JSON", 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 24
"c:\src\flutterApps\Project-Mercury\ios\Runner\Assets.xcassets\LaunchImage.imageset\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 2, 5
"c:\src\flutterApps\Project-Mercury\ios\Runner\Base.lproj\LaunchScreen.storyboard", "XML", 0, 0, 0, 0, 0, 0, 0, 36, 0, 0, 1, 1, 38
"c:\src\flutterApps\Project-Mercury\ios\Runner\Base.lproj\Main.storyboard", "XML", 0, 0, 0, 0, 0, 0, 0, 25, 0, 0, 1, 1, 27
"c:\src\flutterApps\Project-Mercury\ios\Runner\Runner-Bridging-Header.h", "C++", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\src\flutterApps\Project-Mercury\ios\firebase_app_id_file.json", "JSON", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7
"c:\src\flutterApps\Project-Mercury\lib\firebase_options.dart", "Dart", 0, 0, 0, 0, 66, 0, 0, 0, 0, 0, 12, 6, 84
"c:\src\flutterApps\Project-Mercury\lib\main.dart", "Dart", 0, 0, 0, 0, 89, 0, 0, 0, 0, 0, 5, 7, 101
"c:\src\flutterApps\Project-Mercury\lib\models\contact.dart", "Dart", 0, 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 5, 31
"c:\src\flutterApps\Project-Mercury\lib\models\event.dart", "Dart", 0, 0, 0, 0, 65, 0, 0, 0, 0, 0, 0, 7, 72
"c:\src\flutterApps\Project-Mercury\lib\models\furniture.dart", "Dart", 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 1, 3, 21
"c:\src\flutterApps\Project-Mercury\lib\models\scam.dart", "Dart", 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 1, 19
"c:\src\flutterApps\Project-Mercury\lib\models\slot.dart", "Dart", 0, 0, 0, 0, 35, 0, 0, 0, 0, 0, 1, 4, 40
"c:\src\flutterApps\Project-Mercury\lib\models\store_item.dart", "Dart", 0, 0, 0, 0, 156, 0, 0, 0, 0, 0, 0, 10, 166
"c:\src\flutterApps\Project-Mercury\lib\models\transaction.dart", "Dart", 0, 0, 0, 0, 86, 0, 0, 0, 0, 0, 0, 7, 93
"c:\src\flutterApps\Project-Mercury\lib\models\user.dart", "Dart", 0, 0, 0, 0, 28, 0, 0, 0, 0, 0, 0, 4, 32
"c:\src\flutterApps\Project-Mercury\lib\pages\contactPage\contact_card.dart", "Dart", 0, 0, 0, 0, 141, 0, 0, 0, 0, 0, 0, 3, 144
"c:\src\flutterApps\Project-Mercury\lib\pages\contactPage\contact_data.dart", "Dart", 0, 0, 0, 0, 58, 0, 0, 0, 0, 0, 0, 4, 62
"c:\src\flutterApps\Project-Mercury\lib\pages\contactPage\contacts_page.dart", "Dart", 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 4, 29
"c:\src\flutterApps\Project-Mercury\lib\pages\eventPage\event_card.dart", "Dart", 0, 0, 0, 0, 337, 0, 0, 0, 0, 0, 0, 18, 355
"c:\src\flutterApps\Project-Mercury\lib\pages\eventPage\event_data.dart", "Dart", 0, 0, 0, 0, 113, 0, 0, 0, 0, 0, 2, 2, 117
"c:\src\flutterApps\Project-Mercury\lib\pages\eventPage\event_page.dart", "Dart", 0, 0, 0, 0, 32, 0, 0, 0, 0, 0, 0, 3, 35
"c:\src\flutterApps\Project-Mercury\lib\pages\homePage\cube.dart", "Dart", 0, 0, 0, 0, 127, 0, 0, 0, 0, 0, 9, 15, 151
"c:\src\flutterApps\Project-Mercury\lib\pages\homePage\floor_plan.dart", "Dart", 0, 0, 0, 0, 132, 0, 0, 0, 0, 0, 6, 9, 147
"c:\src\flutterApps\Project-Mercury\lib\pages\homePage\furniture_card.dart", "Dart", 0, 0, 0, 0, 40, 0, 0, 0, 0, 0, 1, 5, 46
"c:\src\flutterApps\Project-Mercury\lib\pages\homePage\home_page.dart", "Dart", 0, 0, 0, 0, 206, 0, 0, 0, 0, 0, 3, 6, 215
"c:\src\flutterApps\Project-Mercury\lib\pages\homePage\isometric.dart", "Dart", 0, 0, 0, 0, 31, 0, 0, 0, 0, 0, 4, 8, 43
"c:\src\flutterApps\Project-Mercury\lib\pages\homePage\room.dart", "Dart", 0, 0, 0, 0, 181, 0, 0, 0, 0, 0, 1, 6, 188
"c:\src\flutterApps\Project-Mercury\lib\pages\homePage\room_data.dart", "Dart", 0, 0, 0, 0, 551, 0, 0, 0, 0, 0, 2, 7, 560
"c:\src\flutterApps\Project-Mercury\lib\pages\homePage\slot_card.dart", "Dart", 0, 0, 0, 0, 56, 0, 0, 0, 0, 0, 1, 4, 61
"c:\src\flutterApps\Project-Mercury\lib\pages\infoPage\info_page.dart", "Dart", 0, 0, 0, 0, 175, 0, 0, 0, 0, 0, 1, 5, 181
"c:\src\flutterApps\Project-Mercury\lib\pages\moneyPage\money_page.dart", "Dart", 0, 0, 0, 0, 81, 0, 0, 0, 0, 0, 0, 4, 85
"c:\src\flutterApps\Project-Mercury\lib\pages\moneyPage\transaction_card.dart", "Dart", 0, 0, 0, 0, 103, 0, 0, 0, 0, 0, 0, 4, 107
"c:\src\flutterApps\Project-Mercury\lib\pages\storePage\receipt_card.dart", "Dart", 0, 0, 0, 0, 44, 0, 0, 0, 0, 0, 0, 3, 47
"c:\src\flutterApps\Project-Mercury\lib\pages\storePage\receipt_page.dart", "Dart", 0, 0, 0, 0, 110, 0, 0, 0, 0, 0, 0, 4, 114
"c:\src\flutterApps\Project-Mercury\lib\pages\storePage\store_card.dart", "Dart", 0, 0, 0, 0, 109, 0, 0, 0, 0, 0, 0, 3, 112
"c:\src\flutterApps\Project-Mercury\lib\pages\storePage\store_data.dart", "Dart", 0, 0, 0, 0, 273, 0, 0, 0, 0, 0, 0, 2, 275
"c:\src\flutterApps\Project-Mercury\lib\pages\storePage\store_page.dart", "Dart", 0, 0, 0, 0, 79, 0, 0, 0, 0, 0, 1, 4, 84
"c:\src\flutterApps\Project-Mercury\lib\resources\analytics_methods.dart", "Dart", 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 5, 17
"c:\src\flutterApps\Project-Mercury\lib\resources\auth_methods.dart", "Dart", 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 7, 22
"c:\src\flutterApps\Project-Mercury\lib\resources\event_controller.dart", "Dart", 0, 0, 0, 0, 372, 0, 0, 0, 0, 0, 7, 31, 410
"c:\src\flutterApps\Project-Mercury\lib\resources\firestore_methods.dart", "Dart", 0, 0, 0, 0, 298, 0, 0, 0, 0, 0, 17, 26, 341
"c:\src\flutterApps\Project-Mercury\lib\resources\firestore_path.dart", "Dart", 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 5, 22
"c:\src\flutterApps\Project-Mercury\lib\resources\firestore_service.dart", "Dart", 0, 0, 0, 0, 138, 0, 0, 0, 0, 0, 11, 14, 163
"c:\src\flutterApps\Project-Mercury\lib\resources\locator.dart", "Dart", 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 6, 3, 25
"c:\src\flutterApps\Project-Mercury\lib\resources\time_controller.dart", "Dart", 0, 0, 0, 0, 39, 0, 0, 0, 0, 0, 8, 9, 56
"c:\src\flutterApps\Project-Mercury\lib\resources\tutorial.dart", "Dart", 0, 0, 0, 0, 244, 0, 0, 0, 0, 0, 0, 6, 250
"c:\src\flutterApps\Project-Mercury\lib\screens\navigation_screen.dart", "Dart", 0, 0, 0, 0, 175, 0, 0, 0, 0, 0, 0, 9, 184
"c:\src\flutterApps\Project-Mercury\lib\screens\sign_in_screen.dart", "Dart", 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 3, 18
"c:\src\flutterApps\Project-Mercury\lib\screens\welcome_screen.dart", "Dart", 0, 0, 0, 0, 76, 0, 0, 0, 0, 0, 0, 4, 80
"c:\src\flutterApps\Project-Mercury\lib\utils\global_variables.dart", "Dart", 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 2, 3, 14
"c:\src\flutterApps\Project-Mercury\lib\utils\utils.dart", "Dart", 0, 0, 0, 0, 179, 0, 0, 0, 0, 0, 3, 9, 191
"c:\src\flutterApps\Project-Mercury\pubspec.yaml", "YAML", 0, 0, 0, 37, 0, 0, 0, 0, 0, 0, 49, 8, 94
"c:\src\flutterApps\Project-Mercury\test\widget_test.dart", "Dart", 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 10, 7, 31
"c:\src\flutterApps\Project-Mercury\web\index.html", "HTML", 0, 0, 80, 0, 0, 0, 0, 0, 0, 0, 18, 7, 105
"c:\src\flutterApps\Project-Mercury\web\manifest.json", "JSON", 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 36
"c:\src\flutterApps\Project-Mercury\windows\flutter\generated_plugin_registrant.cc", "C++", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 18
"c:\src\flutterApps\Project-Mercury\windows\flutter\generated_plugin_registrant.h", "C++", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 16
"c:\src\flutterApps\Project-Mercury\windows\runner\flutter_window.cpp", "C++", 0, 45, 0, 0, 0, 0, 0, 0, 0, 0, 4, 13, 62
"c:\src\flutterApps\Project-Mercury\windows\runner\flutter_window.h", "C++", 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 5, 9, 34
"c:\src\flutterApps\Project-Mercury\windows\runner\main.cpp", "C++", 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 4, 10, 44
"c:\src\flutterApps\Project-Mercury\windows\runner\resource.h", "C++", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 6, 2, 17
"c:\src\flutterApps\Project-Mercury\windows\runner\utils.cpp", "C++", 0, 53, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10, 65
"c:\src\flutterApps\Project-Mercury\windows\runner\utils.h", "C++", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 6, 6, 20
"c:\src\flutterApps\Project-Mercury\windows\runner\win32_window.cpp", "C++", 0, 183, 0, 0, 0, 0, 0, 0, 0, 0, 15, 48, 246
"c:\src\flutterApps\Project-Mercury\windows\runner\win32_window.h", "C++", 0, 48, 0, 0, 0, 0, 0, 0, 0, 0, 29, 22, 99
"Total", "-", 243, 411, 80, 40, 5209, 12, 13, 123, 90, 8, 334, 520, 7083
